epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,7267.92,0.54478,0.88361,0.51867,0.91699,0.63221,0.84528,0.70574,0.60918,0.63549,0.84645,0.71065,0.58301,0.57036,0.96576,0.61054,0.90841,4.033e-05,4.033e-05,4.033e-05
92,7347.07,0.53996,0.86742,0.50388,0.90952,0.63401,0.83743,0.70695,0.61025,0.63846,0.83369,0.7106,0.5847,0.57267,0.96649,0.61363,0.90684,3.6667e-05,3.6667e-05,3.6667e-05
93,7426.69,0.53139,0.85008,0.4931,0.90749,0.63787,0.82768,0.70764,0.61172,0.64173,0.82933,0.71379,0.5875,0.56934,0.96841,0.60483,0.90496,3.3004e-05,3.3004e-05,3.3004e-05
94,7505.72,0.52883,0.8555,0.48814,0.90458,0.63806,0.8334,0.70929,0.61352,0.64253,0.83449,0.715,0.59017,0.57043,0.96403,0.60679,0.90537,2.9341e-05,2.9341e-05,2.9341e-05
95,7585.24,0.52324,0.84937,0.48134,0.89915,0.63453,0.83332,0.70837,0.61397,0.6378,0.83442,0.71413,0.58806,0.56711,0.96988,0.60263,0.90451,2.5678e-05,2.5678e-05,2.5678e-05
96,7664.26,0.52235,0.84318,0.48021,0.8975,0.64283,0.83171,0.70911,0.61545,0.64706,0.83606,0.715,0.58725,0.56443,0.96461,0.60099,0.90269,2.2015e-05,2.2015e-05,2.2015e-05
97,7743.11,0.51603,0.83633,0.47417,0.89598,0.64848,0.83849,0.71278,0.61723,0.65324,0.84206,0.71828,0.59174,0.56341,0.96392,0.59765,0.90207,1.8352e-05,1.8352e-05,1.8352e-05
98,7823.04,0.51565,0.83163,0.46953,0.89869,0.64067,0.83444,0.70993,0.61641,0.64624,0.83523,0.7162,0.58947,0.55905,0.96118,0.59554,0.90097,1.4689e-05,1.4689e-05,1.4689e-05
99,7902.04,0.51655,0.83512,0.47586,0.89338,0.64439,0.83516,0.71319,0.61812,0.64946,0.8385,0.71839,0.59104,0.56128,0.96432,0.60365,0.90234,1.1026e-05,1.1026e-05,1.1026e-05
100,7981.33,0.51414,0.8265,0.46899,0.89287,0.64737,0.83289,0.71281,0.61888,0.65161,0.83538,0.71767,0.59113,0.5589,0.96085,0.60069,0.90131,7.363e-06,7.363e-06,7.363e-06
